WeeksToGoal,WeeklyTotal,Type,Event
11,54 miles,Strength Running,Standard warm-up. 5 miles + 4 strides. 2x45'' standard core.
11,54 miles,Strength Running,Standard warm-up + 2 miles. Drills + 4 strides + 3xMile @ Tempo. 60'' jog recovery. 3mi easy.  ITB.
11,54 miles,Strength Running,Standard warm-up. 5 miles. Strength Workout.
11,54 miles,Strength Running,Standard warm-up. 8 miles: Rollercoaster. Gauntlet Workout.
11,54 miles,Strength Running,Mattock Warm-up. 4 miles + 4 strides. Myrtl Routine.
11,54 miles,Strength Running,Standard warm-up. 16 miles. ITB.
11,54 miles,Strength Running,Mattock Warm-up. 8 miles. Strength Workout. PM: Optional XT 30-90' @ easy effort.
10,54 miles,Strength Running,Standard warm-up. 5 miles + 4 strides. 2x45'' standard core.
10,54 miles,Strength Running,Standard warm-up + 2 miles. Drills + 4 strides + 3xMile @ Tempo. 60'' jog recovery. 3mi easy.  ITB.
10,54 miles,Strength Running,Standard warm-up. 5 miles. Strength Workout.
10,54 miles,Strength Running,Standard warm-up. 8 miles: Rollercoaster. Gauntlet Workout.
10,54 miles,Strength Running,Mattock Warm-up. 4 miles + 4 strides. Myrtl Routine.
10,54 miles,Strength Running,Standard warm-up. 16 miles. ITB.
10,54 miles,Strength Running,Mattock Warm-up. 8 miles. Strength Workout. PM: Optional XT 30-90' @ easy effort.
9,58 miles,Strength Running,Standard warm-up. 5 miles + 4 strides. 2 x 1' Standard Core.
9,58 miles,Strength Running,Standard warm-up + 3mi. Drills + 4 strides + 8x1' Hill Reps @ 5k Effort jog down recovery. 3mi easy. ITB.
9,58 miles,Strength Running,Standard warm-up. 6 miles. Strength Workout.
9,58 miles,Strength Running,Standard warm-up. 8 miles: Rollercoaster. Gauntlet Workout
9,58 miles,Strength Running,Mattock Warm-up. 4 miles + 4 strides. Myrtl Routine.
9,58 miles,Strength Running,Standard warm-up. 17 miles. ITB.
9,58 miles,Strength Running,Mattock Warm-up. 9 miles. Strength Workout. PM: Optional XT 30-90' @ easy effort.
8,62 miles,Strength Running,Standard warm-up. 6 miles + 4 strides. 3 x 1' Standard Core.
8,62 miles,Strength Running,Standard warm-up + 3mi. Drills + 4 strides + 3mi Tempo Run. 3mi easy. ITB.
8,62 miles,Strength Running,Standard warm-up. 6 miles. Strength Workout.
8,62 miles,Strength Running,Standard warm-up. 9 miles: Rollercoaster. Gauntlet Workout
8,62 miles,Strength Running,Mattock Warm-up. 5 miles + 4 strides. Myrtl Routine.
8,62 miles,Strength Running,Standard warm-up. 18 miles. ITB.
8,62 miles,Strength Running,Mattock Warm-up. 9 miles. Strength Workout. PM: Optional XT 30-90' @ easy effort.
7,50 miles,Strength Running,Standard warm-up. 4 miles + 4 strides. 3 x 1' Standard Core.
7,50 miles,Strength Running,Standard warm-up + 3mi. Drills + 4 strides + 8x75'' Hill Reps @ 5k Effort jog down recovery. 2mi easy. ITB.
7,50 miles,Strength Running,Standard warm-up. 5 miles. Strength Workout.
7,50 miles,Strength Running,Standard warm-up. 7 miles: Rollercoaster. Gauntlet Workout
7,50 miles,Strength Running,Mattock Warm-up. 3 miles + 4 strides. Myrtl Routine.
7,50 miles,Strength Running,Standard warm-up. 16 miles: miles 3-7 @ Goal Marathon Pace. ITB.
7,50 miles,Strength Running,Mattock Warm-up. 7 miles. Strength Workout. PM: Optional XT 30-90' @ easy effort.
6,66 miles,Strength Running,Standard warm-up. 6 miles + 4 strides. 3 x 1' Standard Core.
6,66 miles,Strength Running,Standard warm-up + 3mi. Drills + 4 strides + 5mi Tempo Run. 3mi easy. ITB.
6,66 miles,Strength Running,Standard warm-up. 7 miles. Strength Workout.
6,66 miles,Strength Running,Standard warm-up. 9 miles: miles 3-5 @ Goal Marathon Pace. Gauntlet Workout
6,66 miles,Strength Running,Mattock Warm-up. 5 miles + 4 strides. Myrtl Routine.
6,66 miles,Strength Running,Standard warm-up. 19 miles. ITB.
6,66 miles,Strength Running,Mattock Warm-up. 10 miles. Strength Workout. PM: Optional XT 30-90' @ easy effort.
5,69 miles,Strength Running,Standard warm-up. 6 miles + 4 strides. 3 x 1' Standard Core.
5,69 miles,Strength Running,Standard warm-up + 3mi. Drills + 4 strides + 5mi Tempo Run. 3mi easy. ITB.
5,69 miles,Strength Running,Standard warm-up. 8 miles. Strength Workout.
5,69 miles,Strength Running,Standard warm-up. 10 miles: miles 3-6 @ Goal Marathon Pace. Gauntlet Workout
5,69 miles,Strength Running,Mattock Warm-up. 5 miles + 4 strides. Myrtl Routine.
5,69 miles,Strength Running,Standard warm-up. 20 miles: miles 3-7 @ Goal Marathon Pace. ITB.
5,69 miles,Strength Running,Mattock Warm-up. 10 miles. Strength Workout. PM: Optional XT 30-90' @ easy effort.
4,70 miles,Strength Running,Standard warm-up. 7 miles + 4 strides. 3 x 1' Standard Core.
4,70 miles,Strength Running,Standard warm-up + 3mi. Drills + 4 strides + 5mi Tempo Run last 30'' of each mile @ 5k Pace. 3mi easy. ITB.
4,70 miles,Strength Running,Standard warm-up. 8 miles. Strength Workout.
4,70 miles,Strength Running,Standard warm-up. 10 miles. Gauntlet Workout.
4,70 miles,Strength Running,Mattock Warm-up. 5 miles + 4 strides. Myrtl Routine.
4,70 miles,Strength Running,Standard warm-up. 18 miles: miles 3-7 @ Goal Marathon Pace. ITB.
4,70 miles,Strength Running,Mattock Warm-up. 11 miles. Strength Workout. PM: Optional XT 30-90' @ easy effort.
3,74 miles,Strength Running,Standard warm-up. 7 miles + 4 strides. 3 x 1' Standard Core.
3,74 miles,Strength Running,Standard warm-up + 3mi. Drills + 4 strides + 3mi Tempo Run + 8x1' Hill Reps @ 5k Effort 2' jog rest. 3mi easy. ITB.
3,74 miles,Strength Running,Standard warm-up. 8 miles. Strength Workout.
3,74 miles,Strength Running,Standard warm-up. 10 miles: miles 3-7 @ Goal Marathon Pace. Gauntlet Workout
3,74 miles,Strength Running,Mattock Warm-up. 5 miles + 4 strides. Myrtl Routine.
3,74 miles,Strength Running,Standard warm-up. 21 miles. ITB.
3,74 miles,Strength Running,Mattock Warm-up. 11 miles. Strength Workout. PM: Optional XT 30-90' @ easy effort.
2,70 miles,Strength Running,Standard warm-up. 8 miles + 4 strides. 3 x 1' Standard Core.
2,70 miles,Strength Running,Standard warm-up + 3mi. Drills + 4 strides + 4 x Mile @ 10k Pace w/ 2' jog recovery. 3mi easy. ITB.
2,70 miles,Strength Running,Standard warm-up. 9 miles. Strength Workout.
2,70 miles,Strength Running,Standard warm-up. 11 miles. Gauntlet Workout
2,70 miles,Strength Running,Mattock Warm-up. 4 miles + 4 strides. Myrtl Routine.
2,70 miles,Strength Running,Standard warm-up. 20 miles: last 10 mi @ Goal Marathon Pace. ITB.
2,70 miles,Strength Running,Mattock Warm-up. 8 miles. Strength Workout. PM: Optional XT 30-90' @ easy effort.
1,42 miles,Strength Running,Standard warm-up. 5 miles + 4 strides. 3x1' standard core.
1,42 miles,Strength Running,Standard warm-up + 2 miles. Drills + 4 strides + 6x2' Fartlek @ 5k Pace w/ 2' jog recovery. 2mi easy.  ITB.
1,42 miles,Strength Running,Standard warm-up. 5 miles. Strength Workout.
1,42 miles,Strength Running,Standard warm-up. 7 miles. Gauntlet Workout.
1,42 miles,Strength Running,Mattock Warm-up. 3 miles + 4 easy strides. Myrtl Routine.
1,42 miles,Strength Running,Standard warm-up. 9 miles: last 5 miles @ Goal Marathon Pace. ITB
1,42 miles,Strength Running,Mattock Warm-up. 6 miles.  Strength Workout.
0,46 miles,Strength Running,Standard warm-up. 4 miles + 4 strides. 3x1' standard core.
0,46 miles,Strength Running,Standard warm-up + 2 miles. Drills + 4 strides + 6x1' Fartlek @ 5k Pace w/ 2' jog recovery. 2mi easy.  ITB.
0,46 miles,Strength Running,Standard warm-up. 4 miles. Strength Workout (easy!).
0,46 miles,Strength Running,Standard warm-up. 4 miles: mile 3 @ Goal MP + 4 strides. 3x1' Standard Core.
0,46 miles,Strength Running,Rest.
0,46 miles,Strength Running,Mattock Warm-up. 2-3 miles + 4 easy strides. Myrtl Routine.
0,46 miles,Strength Running,Mattock Warm-up. Marathon.


